commodity,avg_loss_percentage
Pot Barley,2.0
"Malt, Whether Or Not Roasted",2.0
Bran Of Maize,1.9985714285714287
"Other Stimulant, Spice And Aromatic Crops, N.E.C.",1.912692307692308
Husked Rice,1.892
Soya Beans,1.8280645161290323
"Meat Of Pig Boneless (Pork), Fresh Or Chilled",1.796
Sugar Beet,1.76875
Cranberries And Other Fruits Of The Genus Vaccinium,1.7475
"Anise, Badian, Coriander, Cumin, Caraway, Fennel And Juniper Berries, Raw",1.7337037037037037
"Pistachios, In Shell",1.7
Natural Honey,1.675
Cereals N.E.C.,1.6666666666666667
"Cashew Nuts, In Shell",1.655185185185185
Buckwheat,1.5863636363636362
"Other Citrus Fruit, N.E.",1.575
Cottonseed,1.5713333333333332
Raw Milk Of Cattle,1.5713138686131387
Refined Sugar,1.5563829787234045
Areca Nuts,1.3483333333333332
"Bambara Beans, Dry",1.28
Starch Of Potatoes,1.1035714285714284
"Edible Offal Of Cattle, Fresh, Chilled Or Frozen",1.0
Copra,0.999
Flour Of Maize,0.9885714285714285
Sheep,0.9323855636666667
Oil Palm Fruit,0.8892307692307692
Raw Milk Of Goats,0.8457142857142858
Raw Milk Of Sheep,0.8447826086956521
Safflower Seed,0.7821428571428573
Wheat And Meslin Flour,0.7696
"Meat Of Goat, Fresh Or Chilled",0.7116666666666666
Raw Cane Or Beet Sugar (Centrifugal Only),0.6216666666666667
Cheese From Whole Cow Milk,0.5428571428571428
Currants,0.505
Sour Cherries,0.49833333333333335
"Eggs, Dried",0.4666666666666666
Raspeberries,0.22999999999999998
Goats,0.0673747735
