region,avg_loss_percentage
"Mount Lebanon, Akkar, and West Bekaa",4.366666666666666
Mbozi district,4.36
Hamelmalo,4.35
Region - 4,4.257142857142857
Dry Transitional Zone,4.1625
Oriental Mindoro,4.109
4 Upazillas of Chapai Nowabgonj and 2 Upazillas of Rajshahi.,4.05
Grand Kru,4.042857142857143
Blumentritt,4.0
Divisoria,4.0
Sinkiang,3.95
Uttarakhand,3.8676190476190477
Margibi,3.857142857142857
Region - 3,3.8
Region 3,3.8
Laguna,3.7704
Chitoor District,3.766666666666666
Adami Tulu - Jido Kombolcha and Adama Districts,3.7341799279999996
Tamil Nadu,3.6759999999999997
Hunan,3.6533333333333338
Baucau,3.642857142857143
Region 5,3.6
Maryland,3.5714285714285716
Western Cape Province,3.5645762711864406
Kerala,3.5500000000000003
Ogun state,3.5
Region 1,3.45
Guruwe District,3.45
Wolaita and KembataTembaro Zones,3.4285714285714284
Guizhou,3.3025
Region - 1,3.2600000000000002
Oyam district,3.212857142857143
Trans-Nzoia-West District,3.1816666666666666
River Gee,3.1714285714285713
Region - 5,3.142857142857143
Comilla,3.078
Sawla,3.075
Mymensingh,3.0476666666666667
Qinghai,3.04
Suhum Kraboa Coaltar district in the Eastern region,3.0285714285714285
Apac and Lira districts (2015),3.026666666666667
Dingxi Prefecture  in Gansu,3.0
? Sites: coastal and transition ecological zones of Ghana,3.0
Western Uttar Pradesh,2.81
CAM Meknes,2.75
Khulna,2.7241379310344827
Karnataka,2.604444444444445
Amhara,2.6
"Savanna, transition and coastal ecological zones of Ghana",2.6
Chhintang,2.5
Khoku,2.5
Kabargama,2.4966666666666666
Inner Mongolia,2.495
Dinajpur,2.481379310344828
Pichincha,2.45
Yunnan,2.385
Anadhra Pradesh,2.37
Lima,2.37
"Kapurkot, Salyan, Nepal to Azadpur market, New Delhi, India",2.365
Guangxi,2.356666666666667
Nueva,2.3379999999999996
Bensilmane,2.325
Sichuan,2.285
East Java Province,2.2470588235294118
Dhruvgama,2.2399999999999998
Chongqing,2.216666666666667
Nerica 1 & Nerica 2,2.19
Kiteto District,2.1666666666666665
Teera,2.1
Jiangsu,2.0975
Hubei,2.0825
Jiangxi,2.0566666666666666
CAM Ben Slimane,2.05
Mirjapur,2.0433333333333334
Haryana,2.0
Fujian,1.9949999999999999
Gansu,1.99
Gbarpolu,1.9857142857142858
Birsingpur,1.9366666666666668
Shanxi,1.9233333333333331
Hebei,1.92
Apac Districy,1.9
Sinoe,1.8857142857142857
Basudevpur,1.87
Pratapur,1.8366666666666667
Kogi and Niger lowlands,1.7825
"Krishi Bazar, Dharan",1.75
Akbarpur,1.7433333333333332
Kalyanpur,1.7066666666666668
Henan,1.6433333333333333
Shaanxi,1.62
Oromia,1.55
Shandong,1.5200000000000002
Budhimorang and Khuaphok,1.5
forest and coastal ecological zones of Ghana,1.4703846153846156
Guangdong,1.4700000000000002
Ladaura,1.4666666666666666
Jilin,1.45
Liaoning,1.4466666666666665
Heilongjiang,1.405
Grand Cape Mount,1.4000000000000001
Zhejiang,1.315
Gopalpur,1.2766666666666666
Rivercess,1.2571428571428573
Casablanca,1.21
Maniarpur,1.1833333333333333
Fulhara,1.18
Bomi,1.1714285714285713
Rampura,1.1633333333333333
Anhui,1.1600000000000001
Ajana,1.1300000000000001
Bogra and Dakha,1.0966666666666667
Ningxia,1.06
Beijing,1.045
"Beijing, Xinfadi and Jinxiudadi",1.0
Processing unit in Meknès,1.0
coastal and transition ecological zones of Ghana ,0.9785714285714285
"El Carchi, Imbabura, and Pichincha",0.9305
Settat,0.9071428571428571
Processing unit in Casablanca,0.9
Silo at the port of Casablanca,0.9
Sites: transition ecological zone of Ghana,0.69125
North Eastern,0.58
Tiajin,0.53
Meknes,0.49333333333333335
coastal and transition ecological zones of Ghana,0.395
Sites: transitionecological zone ofGhana,0.135
