cause_of_loss,avg_loss_percentage
"In The Field 1.7 59% 33%  During Threshing 1.0 64% 26%  During Transport 0.2 60% 26%  At Germination 0.2 61% 22%  During Temporary Storage Before  Drying  0.1 58% 23%  During Drying 0.9 60% 26%  During Loading 0.1 57% 25%  During Storage After Drying 0.3 53% 29%  Other 7.2 22% 30%     Quality Deficiencies  (E.G. Protein And  Starch Quality) Was  The Main Cause,  Followed By Plant  Diseases, Threshing  And Weather  Conditions.   Increased Nitrogen  Fertilisation, More  Pesticide Use, Improved  Storage, Better Cultivars  And Reduction In  Competitive  Disadvantage.    Average (%)/ Frequency Of Producers/Frequency Of Producers Who Answered “Don’T Know”   Disease In The Field 6.3 38% 34%  Lodging (E.G. Caused By Heavy Rain) 2.4 43% 28%  Pest Damage 2.8 40% 29%  Weather Conditions (Rain, Floods, Etc.) 3.7 40% 30%  During Temporary Storage Before Drying 0.6 35% 29%  Technical Problems Related To Cultivation  Practices (Damage Caused By Spraying, Etc.)  0.3 33% 32%  Threshing 3.8 38% 30%  Pest Damage During Storage 0.2 35% 31%  Other Quality Parameters (Foreign Seeds,  Damaged Seeds, Etc.)  0.6 37% 29%  Falling Number 1.3 33% 30%  Protein Content 8.9 38% 29%  Test Weight 4.7 36% 28%  Other 13.1 17% 28%",5.0
Lack Of Proper Drying Facilities,5.0
Paddy Rice Threshing And Winnowing,4.97
Birds And Insects Attack,4.95
Grading Into Fufu,4.95
Inappropriate Harvesting Technologies (Machetes) And Poor Soil Conditions (Dry And Stony).,4.95
"Diseases And  Weather Conditions.    Weather Conditions.   Field Etc. Conditions.   Harvest Losses.   Machine Loss/The Work, Which Was During The Growing Season.   Other",4.85
"Insects, Mold And Moisture",4.800000000000001
Rodents,4.793076923076923
"Produce For Domestic Market, On The Other Hand, Was Subject To Large Losses Because Of Bad Treatment And Handling",4.625
"Harvester Adjustment And Manoeuvring, Cultivar Choice, Size Of Field, Size Of Headland.",4.6
"Physical Damage, Bruises, Cuts, Over Ripen, Immature Improper Harvesting, Falling Of Fruits, Improper Handling, Monkey Attack",4.5
Predators; Respiratory Problems; Digestive Problems,4.5
Garistorage (Moisture),4.5
"Decentralized Agricultural System In China  Cereal Storage Losses Resulting From Insect Infestations , Mold Damage , Rat Infestations , Respectivel",4.45
Paddy Rice Harvesting,4.43
Central Storage,4.25
"Harvesting  Technique, Weather  Conditions And  Quality Problems.     Improved Agronomical  Techniques, Preventing  The Yield From Ergot (Sac  Fungi), Finding New Uses  For The Side Flow, Finding  Ways To Overcome Small  Scale Problem, Feeding  Side Flow To Animals (No  Impact On Side Flow  Amount).",4.2
"Insects, Mold",4.175000000000001
"On Average, Of The Two Companies’ Total Production, 3.3% Was Not Harvested, 1% Was Lost  During Harvesting, 7.8% Was Lost During Cleaning And Washing, 8.6% Was Lost During  Blanching And Freezing, 0.7% Was Lost During Colour Sorting And 0% Was Lost During Sales  And Reclamation. No Company Responded That There Were Losses At Any Other Step.",4.166666666666667
"The Survey Finding Further Showed That Most Farmers Used Old Technologies For Drying Cassava Chips, Including Drying On A Mat And By The Roadside Or On Wooden Platform Built Over Fireplace In The Traditional Kitchen. Infection By Moulds Was A Major Contributor Of Drying Loss. This Factor Was Reported By 68 % Of Farmers Interviewed. The Unhygienic Conditions Created By Local Drying Methods Attract Pest Infestation. The Causes Of Processing Loss Include Cutting Deep Into The Flesh Of The Tubers During Peeling. The Major Losses During Storage Of Cassava Chips Include Insect Infestation, Rodent Attack And Contamination With Pest Droppings",4.125
Spillage,4.108333333333333
Fresh Tuber Too Woody,4.1
"Resistance Status Of Some Maize Lines And Varieties To The Maize Weevil, Sitophilus Zeamais (Motschulsky) (Coleoptera: Curculionidae).",4.0
Poor Harvesting Tool,4.0
Rejected Potatoes,4.0
"Insects, Rodents, Mold And Moisture",4.0
Over Ripening,4.0
Long Duration In The Field,3.94
Bag Beating/Bambam,3.94
"This Loss Comprised The Weight Loss (57%), Spoilage Loss (34%) And Other Loss (9%) Caused Due To Sprouting, Shrinkage, Cold Injury Etc",3.8166666666666664
Quality Deviations,3.6
Parboiled Ricedrying,3.6
Climatic Conditions,3.52
Moisture And Rodents,3.5
Physical Damage Rotting/Decay,3.5
Broccoli For Export Was Handled With Care So The Water Loss And Mechanical Damage Were Very Low,3.5
Rotting/Decay Over-Ripening,3.5
"Lack Of Labour, Lack Of Equipment, Water Logged, Rain During Harvesting, Manual Method Of Harvesting",3.5
Use Of Casual Labour,3.4
Drying,3.3333333333333335
"The Main Causes Of Storage Loss In Order Of Importance Are Moisture , Rodents And Spillage ( Dessalegn Et A ! 1998 ) . The Loss Due To Moisture', ""In Bulk .    Early Onset Of Mould Damage May Be Unusual , In View Of The Rain At Harvest And The Subsequent Difficulties That Many Farmers Faced In Drying Their Grain This Season . Mould Damage Is Regarded By Local Farmers As More Of An Inconvenience Than', 'Grain This Season . Mould Damage Is Regarded By Local Farmers As More Of An Inconvenience Than A Loss , Since All The Grain Will Be Used For Food Or For Brewing After Washing To Remove Visible',",3.3
"Major Reason Was  Weather. Colour Or  Appearance Also  Important. Other  Reasons:  Insect/Animal,  Damage And  Agronomical Issues.    Damage From Insects And Animals In The Field 10%  Weather Conditions 60%  Agronomical Problems 10%  Unwanted Colour Or Appearance 20%",3.25
Conditioning,3.1
Transport Of Feed,3.0
"The Causes Of Quantitative Losses Are Similar To Those For Qualitative Losses Only That The Extent Of The Damage Makes The Fruit Unmarketable. The Placement Of Wrapped Bananas On Motorbikes And Trucks Caused Physical Injuries Which Affected The Fingers On The Outer Row Of The Hands. After Ripening The Bruised Area Becomes Hardened And Creates Avenues For Entry Of Pathogens. Since Bananas Are Climacteric, Injury To The Fruit Causes Ethylene Production, Increases Respiration And Water Loss Thereby Shortening Postharvest Life. Additionally, Decay Caused By Pathogenic Agents' Sets In At The Point Of Injury",3.0
Milled Rice; Storage In Store,2.98
Combine,2.92
Manual Plus Threser,2.8533333333333335
Feed Miller Rodents,2.8
Harvesting In The Rain,2.8
Wilting,2.6
Tomatoes Unmarketable After 5 Days (Brought From Bogra To Gazipur Wholesale Market),2.6
Reaper Plus Thresher,2.563333333333333
Green Potatoes,2.55
"The Lack Of Drying Facilities In Most Maize Growing Areas Of The Country, Has Led To Significant Losses",2.54
Lack Of Drying Equipment And All Raining At Drying Process.,2.5
Pre-Cooling And Packaging,2.5
Spreading Out In Sunlight,2.5
"Lack Of Storage Facilities, Use Traditional Methods, And Lack Of Labour",2.5
Garistorage (Rodents),2.5
Market,2.5
Market Storage Moisture,2.5
Garitransport,2.5
Pre-Cooling And  Packaging,2.5
Freight Handler,2.5
"Scratches, Puncture Of Fruits, Insect Infestation Improper Harvesting, Infestation",2.5
"Bruises, Injuries, Rottening Improper Handling, Falling Of Fruits, Fungal Attack",2.5
"Transportation Of The Crops By Head-Loads, On Bicycles And Other Means",2.5
Small Onions Left In Field Due To How The Harvester  Was Adjusted.  Onion Piles Found In Field Caused By The Gap  Between Two Wagons Behind The Tractor.  Parts Of The Field Not Harvested Because It Was  Waterlogged And Difficult To Harvest.,2.4
Traditional Milling; Transport To Mill,2.37
"Bag Beating/Bambam    The Results Of The Survey Showed That Harvesting Losses  Ranged Between 3.03 And 12.05% While Threshing Losses  Varied From 0.53 To 4.07% (Table 3). Total Losses Due To  Only Harvesting And Threshing Losses At Farmer’S Fields  Ranged Between 5.60 And 16.14%. The Differences In  Postharvest Losses Among The Farmers Were Due To  Different Level Of Skill Of Harvesting And Threshing As Well  As Poor Weed Control. During The Study It Was Observed  That The Farmers’ Fields Were Engulfed In A Lot Of Weeds.  Poor Weed Control Is Known To Interfere With Effectiveness  Of Harvesting (Al-Khatib, 1995).",2.3
Price Discount For Every One Bruchid Hole Per 100 Grains,2.3
"Weather, Animal Damage,  Harvesting Conditions,  Harvester Adjustment,  Driving Speed, Use Of Side  Cutter (Field Pea) And  Reasons Related To Field  Conditions And Cultivation  Methods.   Careful Harvesting, Adjustment Of  Harvester For Every Plot, Straight  Driving Line, Selection Of Field Plot,  Maintain Growing Conditions,  Cultivation Method Factors Like  Crop Rotation, Improved Crop  Protection And Weed Protection,  Work Scheduling",2.25
Fresh Tuber Transport,2.2
Pancle/ Sickle Harvesting Two Varieties Of Rice,2.19
Left In The Field,2.1
Damage By Rats And Domestic Animals,2.1
"The Main Causes Of Storage Loss In Order Of Importance Are Moisture , Rodents And Spillage",2.1
Machinery And Handling Tests,2.0325
Transport To Feed Miller,2.0
Storage Maize Grain,2.0
Burnt/Broken Potatoes,2.0
"An Estimated 1.5% Of The Maize,  Millet, Sorghum And Groundnut Outputs Were Estimated To Be Lost  During Harvesting. Losses During Transportation Of The Crops By  Head-Loads, On Bicycles And Other Means Were 2.5%",2.0
"Not Harvested 1%  Lost During Harvesting 2%  Lost When Separating Peas From Soil And Other Non-Pea Material 5%  Lost During Blanching And Freezing 5%  Lost During Colour Sorting 6%  Lost During Sale To Consumer Or Because Of Complaints 1%    Major Reason Was  Weather. Colour Or  Appearance Also  Important. Other  Reasons:  Insect/Animal,  Damage And  Agronomical Issues.    Damage From Insects And Animals In The Field 10%  Weather Conditions 60%  Agronomical Problems 10%  Unwanted Colour Or Appearance 20%",2.0
Other Causes Such As Rodents And Theft,2.0
Early Maturity,2.0
Feed Miller Spoilage,2.0
Feed Storage Spoilage,2.0
Feed Storage Weevils,2.0
Rural Market,2.0
Moulds,1.9727272727272727
Too Small,1.93
Insect Pest Damage,1.9196296296296296
Insects And Mold,1.9
"Bad Harvesting, Collection And Threshing Techniques",1.8866666666666667
"Grading    Scientific Grading Of Mandarins Is Not Done By Any  Of The Dealers. At The Most, The Fruits Are Sorted  Out According To Size, Shape And Color. There Are  Hardly Any Losses In The Process Of Grading, But  Due To Improper Handling Of The Fruits Or Due To  Over Ripened Fruits, There Are Likely Losses Of The  Fruits At The Time Of Grading. The Percentage Of  Losses May Be 0.5 To 3.",1.75
Gariprocessing,1.6
Paddy Rice -Drying And Storage,1.53
Trimming,1.5
"Bruises, Scratches Improper Handling",1.5
"Poor Packaging, Plant Diseases, Scattered",1.43
Ketchup Production,1.35
Milled Rice; Transport From Mil To Home,1.335
"Insects, Moisture And Mold",1.3
Rotten Potatoes,1.3
"The Study Revealed That 70% Of The Surveyed Farmers Experience  Food Losses During Pre- And Post-Harvest Handling Operations,  Including During Manual Processing That Cause Mechanical  Breakage And Spillage Of The Food, And Irksomeness To The Processor.  Crop Losses Occur During Pre-Harvest Drying On The Field Were  Caused By Wild Animals, Birds And Rodents. In Worst Cases, Up To 32%  Of Maize-On-Cobs Could Be Lost To Birds, Monkeys, Other Rodents  Before Harvest, And Through Qualitative Spoilage By Mould And  Fungi Which Could Be Extensive In Wet Conditions. Similar Qualitative Loss Through Aflatoxin Contamination Of Maize And Cassava In  Tanzania And Congo Had Been Reported (Manjula Et Al., 2009). In  Terms Of Proportion Of Matured Crops, 15% Was Estimated As Preharvest Field Loss For Most Grain And Legume Crops. The Farmers  Expressed Their Inability And Skills To Effectively Prevent Or Control  Field Losses By Pests And Rodents. An Estimated 1.5% Of The Maize,  Millet, Sorghum And Groundnut Outputs Were Estimated To Be Lost  During Harvesting. Losses During Transportation Of The Crops By  Head-Loads, On Bicycles And Other Means Were 2.5%. This Compares  With 2.25% Losses Recorded During Transportation Of Rice From The  Field To The Store And 1% From The Store To The Market For Maize In  Madagascar (Hodges, 2012). An Estimated Loss Of 13.4% For Maize  (P ¼ 0.009), 20% For Millet And Sunflower, 18% For Groundnut, 10% For  Pigeon Pea, 6% For Sorghum And 5% For Sesame Occur When Manual  Methods Of Processing Were Used (Table 4). The Losses Were In Form  Of Mechanical Damage Such As Breakage, Puncture, Compression,  Rupture, Dent Bruises, Or Spillages Of The Crops.",1.28
Improper Packaging,1.21
Temperature,1.17
Traditional Milling; Storage Before Milling,1.16
Milled Rice; Storage After Milling,1.14
Garistorage/Spoilage,1.1
Parboiled Rice Parboiling,1.07
Wholesale To Retail,1.0
Poor Roads And Poor Transport,1.0
Feed Miller Weevils,1.0
Undersized Potatoes,1.0
Village Traders,1.0
Ear Detachment,1.0
Dalayed In Harvesting Due To Fall In Prices Forcing Farmers To Dalay The Harvest,0.98
Traditional Milling,0.87
Milled Rice; Milled Rice From Home To Market,0.75
Poor Threshing Techniques,0.71
In The Urban Market,0.645
No Cooling Facility,0.6
"With Milk Cooling System, But Expensive And Unreliable Power Supply",0.6
"Improper Handling During Packaging    Improper Handling, Overloading And Dropping Of The Fruits  During Weighment Are The Main Factors Of Losses During  Packaging. The Dealers Generally Sell The Produce After  Packing In Polythene Bags In Loose Condition And Overload  The Bags. So Losses Of Upto 0.2 To 1% Occurred.",0.6
Lack Of Cold Storage,0.53
Parboiled Rice Storage,0.52
Physical Losses From Harvest To Sale Including Storage,0.51
Poor Handling And Storage,0.5014285714285714
Lack Of Packing And Manual Method,0.5
Lack Of Drying Facilities And Lack Of Labour,0.5
Spillage Out Of Threshing Floor,0.5
Mortality,0.4
Paddy Ricepaddy From Field To Home,0.34
Residues Of Antibiotics In Milk,0.32
Poor Storage And Cooling Infrastrures,0.23249999999999998
Poor Storage Conditions,0.22428571428571428
Poor Storage Practices,0.20750000000000002
Aluminium Milk Containers And Cooling Facility,0.2
Poor Storage Facilities,0.158
Insects; Bruchids,0.1275
Paddy Ricepaddy From Storage To Market,0.12
Transport 50 - 300 Ltr Of Milk Per Day On Motorbikes,0.1
Milk Rejected By The Processor,0.1
Bad Harvesting Operations,0.0625
Predators; Respiratory Problems; Digestive Problems ; Harsh Winter,0.055476559499999994
"Moisture Loss ,Mechanical Damage , Transportation And Storage -",0.02
Insects Attack,0.02
