cause_of_loss,avg_loss_percentage
"The Vast Majority Of Mango Farmers Interviewed (98%) Sold All Their Produce To  Middlemen/Brokers At The Farm-Gate With Only 2 Percent Selling Some Of The Produce To Markets  Outside Embu District. Usually, No Collective Bargaining Takes Place On The Price Because Each  Farmer Interacts Individually With Traders (Brokers) And As A Result, Traders Take Advantage Of  Farmers By Colluding To Buy Mangoes At Prices Lower Than The Prevailing Market Prices. This  Exploitative Tendency By Buyers Who Offer Very Low Prices Was Mentioned By 94 Percent Of Farmers  As The Major Marketing Challenge Followed By Delayed Purchase After Harvest (64%). This Occurs  When Brokers Instruct Farmers To Harvest The Mangoes Promising To Pick Them Up The Next Day But   41  Then Intentionally Delay To Do So. They Then Persuade Farmers To Sell Their Produce At Lower Prices  To Avoid Additional Spoilage And Loss Given That Mangoes Are Highly Perishable. On-Farm Sorting,  Grading And Bulking Of Mango Fruit Is A Common Practice And Is Usually Done By Traders (Brokers)  Before Buying Them. They Bring Their Own Workers To The Farm To Harvest The Fruit Or By Giving A  Purchasing Future Date Thus Advising Farmers On When To Harvest. In Both Cases, The Buyer Meets The  Labour Costs Involved. After Sorting, Damaged Mangoes Are Rejected By Buyers And Farmers Usually  Have To Find Alternative Use Or Ways To Dispose The Fruits. Those Rejected Because Of Fruit Fly  Infestation Are Buried In A Deep Hole.  The Lack Of Good Storage Facilities At The Farm Level Was Also A Major Challenge That Compelled  54 Percent Of Farmers To Sell Their Mangoes On The Day Of Harvesting. Others (46%) Kept Them Under A  Makeshift Shed To Minimize Sunburn, Loss Of Moisture And Accumulation Of Dust For A Few Days As  They Waited To Sell. In Addition, Most Access Roads To Farms Are Passable Only During The Dry Seasons  Of The Year But If There Are Heavy Rains During The Harvesting Period, Accessibility Is Impeded Thus  Contributing To Post-Harvest Losses And A Deterioration Of Quality Leading To Low Selling Prices. When  Farmers Were Asked To Rank The Attributes That Buyers Considered As The Most Important When  Selecting Mangoes For Purchase, 96 Percent Ranked Fruit Size First, Followed Closely By Quality (92%),  Colour As A Maturity Indicator (80%) And Mango Variety (42%). These Results Reveal The Importance  Of Quality As A Key Attribute Of Marketable Fruit. It Is A Compound Attribute That Refers To The Lack Of  External Or Internal Damage Or Injury Caused By Insect Pests, Diseases, Birds Or Mechanical Damage.",25.0
"Quality Issues, Pests, Plant Diseases, Harvesting Methods.Plant Diseases, Mould, Germinated, Injured 2 0 1 18%  Pests (Insects, Birds, Etc.) 2 3 1 35%  Weather Conditions 1 1 1 24%  Cultivation Method And Crop Protection 1 0 1 12%  Harvest Method 2 2 1 29%  Processing Processes 1 0 0 6%  Wrong Size/Carrot Shape 6 1 1 47%  Appearance (Small Spots, Etc.) 2 3 1 35%  Other Quality Errors 1 0 1 12%  Surplus Production 0 0 2 12%  Human Error 1 0 0 6%  No Buyers 1 0 0 6%  Not Economically Profitable 0 0 1 6%  Other Reasons 0 0 0 0%",25.0
Quality At Supermarket,25.0
Gari,25.0
"95% Of The Apples Produced In Jumla Are Stored In Underground Pits, While 5% Are Retained The Cellar Stores At Jumla",22.5
"Poor Cultural Practices, Not Processed Into Flour, Raw Commodity Left To Rot; Traditional Storage",22.5
"Poor Cultural Practices, Not Processed Into Flour, Raw Commodity Left To Rot",22.333333333333332
"Poor Post Harvest Management, Marketing",21.51
"Average/ Frequency Of Producers/Frequency Of Producers Who Answered “Don’T Know”   Disease In Field 29% 59% 12%  Damage From Pest Insects Or Animals In Field 17% 18% 6%  Weather Conditions (Frost, Drought, Etc.) 28% 35% 6%  During Temporary Storage Before Drying 0% 0% 6%  Technical Problems Related To Cultivation Method (Spray  Damage, Poor Drainage, Etc.)  10% 6% 6%  Damage During Harvest And Handling 10% 41% 12%  Undesirable Size 9% 29% 12%  Undesirable Shape Or Appearance (Rot, Lumpy, Etc.) 28% 47% 12%  Leftovers From Processing 0% 0% 12%  Reclaimed 0% 0% 6%  No Sale 9% 12% 6%",21.0
"Pest/Disease Damage, Poor Postharvest Handling And Poor Infrastructure",20.75
"Levels Of Postharvest Losses In Fruits Owing To Improper Harvesting, Handling, Grading, Packing, Transportation And Storage",20.689999999999998
"Maturity, Ripeness (Within Two Days Of Ripening), Size (Large Are Preferred As They Have More Pulp), Bruising, And Spots Or Pest/Insect Damage",20.5
Hot Weather During Harvest And Post Packaging,20.375
Storage Of Untreated Grain,20.3
". Quantitative Post-Harvest Losses Of Economic Importance Occur  In The Field (15%); During Processing (13E20%), And During Storage (15E25%). The Main Storage Pests  Responsible For The Losses Are Larger Grain Borers (Prostephanus Truncatus), Grain Weevils (Sitophilus  Granarius) And, The Lesser Grain Borer (Rhyzopertha Dominica). Most Of The Farmers Considered Changes In  Weather (40%), Field Damage (33%), And Storage Pests (16%) As The Three Most Important Factors Causing  Poor Crop Yields And Aggravating Food Losses. However, Survey Results Suggest That The Farmers’ Poor  Knowledge And Skills On Post-Harvest Management Are Largely Responsible For The Food Losses. 77% Of The  Surveyed Farmers Reported Inadequate Household Foods And 41% Received Food Aid During The Previous  Year. Increasing Farmers’ Technical Know-How On Adaptation Of The Farming Systems To Climate Variability,  And Training On Post-Harvest Management Could Reduce Food Losses, And Improve Poverty And Household  Food Security",20.0
General Poor Handling Lack Of Training Only Large Growers Have Access To Export Markets,20.0
Parboiling,20.0
"Physical Losses, Pests And Disease",20.0
Major Losses At The Small-Scale Level Farm Due To A Lack Of Adequate Technology,20.0
Ripening At Too High Temperature And Oxygen Level.,20.0
Mechanical Damage,19.92162162162162
Open-Access Harvesting And The Slapping Paddy Threshing System,18.6
Surface Infections From Mold And Fungus,18.6
Rotting,18.4
"Damage During  Harvest And Handling,  No  Sale/Overproduction,  Weather Conditions,  Other Quality  Parameters And  Damage From  Animals Are The Main  Reasons Given.",18.0
Crib-Drying,18.0
Shelling,18.0
"Damage During  Harvesting Or  Handling;  Unacceptable  Size, Shape And  Appearance;  Diseases In The  Fields Are The  Main Reasons.    Ason, The Reason That Gave The Highest Value Was Damage At  Harvest Or Handling, On Average 22% (Range 0–100%) (Figure 62). Disease Occurring In  The Field, Unacceptable Size Or Unacceptable Shape/Appearance Were Also Major Reasons  For Discarding Products, And All Gave Values Around 17% (Range 0–60%; 0–80%; 0–97%  Respectively). Damage From Insects Or Animals In The Field As Well As Weather Conditions  Were Considered On Average To Be Minor Reasons, And Contributed 7% (Range 0–100%)  And 5% (Range 0–100%) Respectively. The Other Reasons Contributed On Average Less  Than 5%.",18.0
Diseases And  Weather Conditions.,17.65
"Rough Handling, The Effects Of High Ambient Temperatures And Poor Quality  Package",17.5
"Major Reasons Are  Low Protein Content  And Damage Due To  Animal Wildlife.  Other Reasons Are  Harvest, Weather,  And Low Falling  Number.  A Main Part Of The  Respondents Said That  Low Quality Was Weather  Related But There Could  Be Improvements In How  Fertilizers And Pesticides  Are Being Used. Better  Technique’S For  Handling/Sorting The  Different Qualities Were  Also Mentioned.",16.75
At Wholesale,16.666666666666668
